_tas_id,date,_date_dt,stat,boat_brand,fleet_type,boat_name,qc,qc_id,qc_status,qc_atc_time,task,Riggers,Riggers_id,Riggers_status,Riggers_atc_time,Shipwright,Shipwright_id,Shipwright_status,Shipwright_atc_time,Cleaner above deck,Cleaner above deck_id,Cleaner above deck_status,Cleaner above deck_atc_time,Cleaner below deck,Cleaner below deck_id,Cleaner below deck_status,Cleaner below deck_atc_time,Safety Equipment,Safety Equipment_id,Safety Equipment_status,Safety Equipment_atc_time,Technician,Technician_id,Technician_status,Technician_atc_time
68992,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[AVANTI](/app/fleet/1731),0,740962,0,2026-03-13T00:31:54.495427+00:00,[#740962](/app/tasks/740962),3497,740968,0,2026-03-23T18:54:35.457149+00:00,6172,740963,2,2026-03-23T18:55:14.637957+00:00,0,740966,0,2026-03-13T00:31:54.743110+00:00,0,740967,0,2026-03-13T00:31:54.790320+00:00,0,740964,0,2026-03-13T00:31:54.636297+00:00,6269,740965,0,2026-03-23T18:55:29.406550+00:00
69282,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[Caroleena II](/app/fleet/3925),0,744595,0,2026-03-19T21:32:00.796921+00:00,[#744595](/app/tasks/744595),3497,744601,0,2026-03-22T19:02:06.634007+00:00,6172,744596,2,2026-03-21T19:47:32.907545+00:00,0,744599,0,2026-03-19T21:32:01.097261+00:00,0,744600,0,2026-03-19T21:32:01.120731+00:00,0,744597,0,2026-03-19T21:32:00.930899+00:00,2267,744598,0,2026-03-21T19:47:17.329200+00:00
68993,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[CATATUDE](/app/fleet/3298),0,740969,0,2026-03-13T00:32:03.240279+00:00,[#740969](/app/tasks/740969),4762,740975,2,2026-03-24T18:03:12.809121+00:00,2313,740970,2,2026-03-24T18:03:42.032307+00:00,0,740973,0,2026-03-13T00:32:03.453303+00:00,0,740974,0,2026-03-13T00:32:03.531623+00:00,0,740971,0,2026-03-13T00:32:03.349208+00:00,2267,740972,0,2026-03-24T18:03:26.990073+00:00
68994,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[CHEAP THRILLS VIII](/app/fleet/2510),0,740976,0,2026-03-13T00:32:04.186293+00:00,[#740976](/app/tasks/740976),6245,740982,2,2026-03-21T19:45:35.325291+00:00,6183,740977,2,2026-03-21T19:46:12.757691+00:00,0,740980,0,2026-03-13T00:32:04.439185+00:00,0,740981,0,2026-03-13T00:32:04.456057+00:00,0,740978,0,2026-03-13T00:32:04.301250+00:00,6269,740979,2,2026-03-21T19:45:53.843073+00:00
68995,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[CORAL](/app/fleet/4198),0,740983,0,2026-03-13T00:32:05.897590+00:00,[#740983](/app/tasks/740983),2285,740989,0,2026-03-21T20:19:34.067964+00:00,2285,740984,0,2026-03-21T20:20:09.433044+00:00,0,740987,0,2026-03-13T00:32:06.195769+00:00,0,740988,0,2026-03-13T00:32:06.242561+00:00,0,740985,0,2026-03-13T00:32:06.045091+00:00,6268,740986,2,2026-03-21T20:19:50.891923+00:00
69216,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[DILKARA DREAMER](/app/fleet/3284),0,743418,0,2026-03-16T22:32:07.307044+00:00,[#743418](/app/tasks/743418),6245,743424,2,2026-03-25T20:36:39.946107+00:00,2313,743419,2,2026-03-25T20:37:12.620330+00:00,0,743422,0,2026-03-16T22:32:07.501599+00:00,0,743423,0,2026-03-16T22:32:07.540525+00:00,0,743420,0,2026-03-16T22:32:07.406086+00:00,0,743421,0,2026-03-16T22:32:07.446156+00:00
68996,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[FATU HIVA](/app/fleet/3749),0,740990,0,2026-03-13T00:32:15.296158+00:00,[#740990](/app/tasks/740990),3497,740996,0,2026-03-19T20:42:07.112031+00:00,2313,740991,2,2026-03-19T20:42:37.112393+00:00,0,740994,0,2026-03-13T00:32:15.498036+00:00,0,740995,0,2026-03-13T00:32:15.538623+00:00,0,740993,0,2026-03-13T00:32:15.439668+00:00,6269,740992,2,2026-03-19T20:42:22.746302+00:00
68997,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[Glad 2B Here 2](/app/fleet/4197),0,740997,0,2026-03-13T00:32:21.346158+00:00,[#740997](/app/tasks/740997),6186,741003,0,2026-03-21T20:16:36.566881+00:00,6186,740998,0,2026-03-21T20:16:22.631593+00:00,0,741001,0,2026-03-13T00:32:21.598242+00:00,0,741002,0,2026-03-13T00:32:21.641769+00:00,0,740999,0,2026-03-13T00:32:21.486950+00:00,2292,741000,0,2026-03-21T20:16:05.851420+00:00
68998,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[HONKY TONK WOMAN](/app/fleet/3647),0,741004,0,2026-03-13T00:32:27.099304+00:00,[#741004](/app/tasks/741004),4762,741010,2,2026-03-23T18:57:34.192117+00:00,2286,741005,2,2026-03-23T18:59:00.654815+00:00,0,741008,0,2026-03-13T00:32:27.352455+00:00,0,741009,0,2026-03-13T00:32:27.401759+00:00,0,741006,0,2026-03-13T00:32:27.251604+00:00,4901,741007,0,2026-03-23T18:58:00.883141+00:00
68999,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[ILES ET AILES](/app/fleet/2513),0,741011,0,2026-03-13T00:32:28.299726+00:00,[#741011](/app/tasks/741011),6245,741017,2,2026-03-21T19:53:01.059442+00:00,2286,741012,2,2026-03-21T19:53:52.676466+00:00,0,741015,0,2026-03-13T00:32:28.546962+00:00,0,741016,0,2026-03-13T00:32:28.596816+00:00,0,741013,0,2026-03-13T00:32:28.437040+00:00,2279,741014,0,2026-03-21T19:54:45.373140+00:00
69000,2026-03-25,2026-03-26T00:00:00+00:00,QTA,Moorings,,[JUST COOL](/app/fleet/3336),0,741018,0,2026-03-13T00:32:32.044088+00:00,[#741018](/app/tasks/741018),4762,741024,2,2026-03-24T18:06:56.853340+00:00,2313,741019,2,2026-03-24T18:07:30.577812+00:00,0,741022,0,2026-03-13T00:32:32.290135+00:00,0,741023,0,2026-03-13T00:32:32.335504+00:00,0,741020,0,2026-03-13T00:32:32.150798+00:00,2302,741021,0,2026-03-24T18:07:13.301597+00:00
